V/atom,BCC_a,BCC_E,Delta_BCC_E,FCC_a,FCC_E,Delta_FCC_E,A15_a,A15_E,Delta_A15_E
12.0,2.8844991406148166,-10.934743048032672,1.7598342714273834,3.634241185664279,-10.89287049625633,1.801706823203725,4.578856970213327,-10.726373252886294,1.9682040665737617
12.1,2.892489483762225,-11.033351820365525,1.661225499094531,3.6443083871915816,-10.995672115342765,1.69890520411729,4.591540849331109,-10.835209658129422,1.8593676613306336
12.2,2.900435923371512,-11.127704463882896,1.5668728555771594,3.654320273727041,-11.093640966844646,1.6009363526154097,4.6041550359262935,-10.93920275983789,1.7553745596221653
12.3,2.908339057595449,-11.218021815071364,1.476555504388692,3.6642775988959237,-11.18706974259222,1.5075075768678357,4.616700479507217,-11.0386260163709,1.6559513030891555
12.4,2.916199471653423,-11.304498343758242,1.3900789757018135,3.674181100028455,-11.27620591943166,1.418371400028395,4.629178109051751,-11.133720625541667,1.5608566939183888
12.5,2.924017738212866,-11.38730653298181,1.3072707864782451,3.6840314986403864,-11.361260297547787,1.3333170219122685,4.641588833612778,-11.224698534845526,1.4698787846145294
12.6,2.931794417756475,-11.466600578825362,1.227976740634693,3.6938295008956663,-11.442414760655303,1.252162558804752,4.6539335429011235,-11.311745865802063,1.3828314536579924
12.7,2.939530058935875,-11.54251943552886,1.152057883931196,3.703575798052025,-11.519828959706867,1.1747483597531883,4.66621310784695,-11.395026435929317,1.2995508835307383
12.8,2.9472251989123093,-11.615189279542548,1.0793880399175073,3.713271066890223,-11.593645810573072,1.1009315088869833,4.678428381140585,-11.474685151241225,1.2198921682188306
12.9,2.9548803636849534,-11.684725486558511,1.0098518329015445,3.7229159701276906,-11.663995831993226,1.0305814874668293,4.69058019775367,-11.550851123603469,1.143726195856587
13.0,2.9624960684073702,-11.751234217253735,0.9433431022063203,3.7325111568172478,-11.731000435963892,0.9635768834961631,4.7026693754415145,-11.623640434829166,1.070936884630889
13.1,2.970072817692642,-11.814813698336863,0.8797636211231925,3.742057262731538,-11.794774327047897,0.8998029924121589,4.714696715227454,-11.693158520613979,1.0014187988460765
13.2,2.9776111059076547,-11.875555271336637,0.8190220481234185,3.7515549107338066,-11.85542718044701,0.8391501390130447,4.726663001870004,-11.759502182673717,0.9350751367863381
13.3,2.9851114174570075,-11.933544266284828,0.7610330531752272,3.7610047111356057,-11.913064761462753,0.7815125579973028,4.738569004313536,-11.822761258938995,0.871816060521061
13.4,2.9925742270569824,-11.988860743295843,0.7057165761642121,3.7704072620419717,-11.967789629944946,0.7267876895151097,4.750415476123175,-11.883019992418419,0.811557327041637
