V/atom,BCC_a,BCC_E,Delta_BCC_E,FCC_a,FCC_E,Delta_FCC_E,A15_a,A15_E,Delta_A15_E
12.0,2.8844991406148166,-9.601923288491909,1.0519025214797892,3.634241185664279,-9.517173384912258,1.1366524250594399,4.578856970213327,-9.419680084601792,1.2341457253699062
12.1,2.892489483762225,-9.66623620592539,0.9875896040463079,3.6443083871915816,-9.582692522149959,1.0711332878217394,4.591540849331109,-9.488324377708915,1.1655014322627828
12.2,2.900435923371512,-9.72752281185656,0.9263029981151387,3.654320273727041,-9.64483562910478,1.0089901808669186,4.6041550359262935,-9.553855642605686,1.0999701673660116
12.3,2.908339057595449,-9.78590801595756,0.8679177940141383,3.6642775988959237,-9.703764321580831,0.9500614883908671,4.616700479507217,-9.616405853791825,1.037419956179873
12.4,2.916199471653423,-9.841510932395229,0.812314877576469,3.674181100028455,-9.759637013743706,0.8941887962279917,4.629178109051751,-9.676105585083063,0.9777202248886354
12.5,2.924017738212866,-9.89444547884867,0.7593803311230278,3.6840314986403864,-9.81260871237855,0.8412170975931481,4.641588833612778,-9.733083731437272,0.9207420785344258
12.6,2.931794417756475,-9.944820836253726,0.7090049737179722,3.6938295008956663,-9.862830669589252,0.7909951403824458,4.6539335429011235,-9.78746706633197,0.8663587436397275
12.7,2.939530058935875,-9.992741780782072,0.6610840291896256,3.703575798052025,-9.910449910701033,0.7433758992706654,4.66621310784695,-9.839379641338546,0.8144461686331521
12.8,2.9472251989123093,-10.038308902301601,0.6155169076700968,3.713271066890223,-9.955608660844339,0.698217149127359,4.678428381140585,-9.888942046068609,0.7648837639030894
12.9,2.9548803636849534,-10.081618725881846,0.5722070840898521,3.7229159701276906,-9.998443700579081,0.6553821093926171,4.69058019775367,-9.936270559487578,0.7175552504841196
13.0,2.9624960684073702,-10.122763754768279,0.5310620552034191,3.7325111568172478,-10.039085687166242,0.6147401228054559,4.7026693754415145,-9.98147623650565,0.6723495734660485
13.1,2.970072817692642,-10.16183245455192,0.49199335541977796,3.742057262731538,-10.077658482763313,0.5761673272083847,4.714696715227454,-10.024663985100883,0.6291618248708151
13.2,2.9776111059076547,-10.198909198869982,0.4549166111017158,3.7515549107338066,-10.11427853298855,0.5395472769831482,4.726663001870004,-10.06593169710347,0.5878941128682289
13.3,2.9851114174570075,-10.234074196769505,0.4197516132021928,3.7610047111356057,-10.149054338256327,0.5047714717153706,4.738569004313536,-10.105369498385038,0.5484563115866603
13.4,2.9925742270569824,-10.26740342076803,0.386422389203668,3.7704072620419717,-10.182086055695851,0.4717397542758466,4.750415476123175,-10.14305918027979,0.5107666296919078
13.5,3.0,-10.29896855264844,0.3548572573232587,3.7797631496846193,-10.213465261473617,0.4403605484980808,4.762203155904598,-10.179073863222529,0.4747519467491692
13.6,3.007389192409949,-10.32883693022216,0.3249888797495384,3.789072948743638,-10.243274892590572,0.41055091738112637,4.773932767709347,-10.213477926538491,0.44034788343320663
13.7,3.014742251488785,-10.357071519683771,0.296754290287927,3.7983372226581835,-10.271589372739147,0.3822364372325513,4.785605021426275,-10.246327216886751,0.40749859308494685
13.8,3.022059615754738,-10.383731151076049,0.27009465889564943,3.807556523926606,-10.298474890710386,0.355350919261312,4.797220613159683,-10.277669524713822,0.3761562852578759
13.9,3.029341715272494,-10.40887066982682,0.24495514014487796,3.8167313943964567,-10.323990100329276,0.32983570964242226,4.808780225594707,-10.307545296253062,0.3462805137186358
14.0,3.0365889718756622,-10.43254109659981,0.2212847133718885,3.825862365544778,-10.3481869183864,0.3056388915852981,4.820284528350459,-10.335988530926855,0.31783727904484316
14.1,3.043801799381843,-10.454789834638907,0.19903597533279083,3.834949958749076,-10.371111181195364,0.28271462877633446,4.831734178321436,-10.363027802528777,0.2907980074429215
14.2,3.050980603800597,-10.475660917972334,0.17816489199936392,3.8439946855493425,-10.39280335981788,0.26102245015381875,4.84312982000764,-10.388687338239455,0.2651384717322429
14.3,3.058125783534594,-10.49519529160111,0.15863051837058784,3.8529970479014874,-10.41329930971102,0.24052650026067823,4.854472085833889,-10.412988092132853,0.24083771783884522
14.4,3.0652377295742124,-10.513431113403822,0.14039469656787595,3.861957538422519,-10.432631020002969,0.2211947899687292,4.86576159645872,-10.43594875813243,0.21787705183926853
14.5,3.072316825685847,-10.530404066954919,0.12342174301677922,3.8708766406277966,-10.450827332081523,0.20299847789017456,4.876998961073313,-10.457586679520958,0.19623913045074026
14.6,3.0793634485941714,-10.546147674707315,0.10767813526438275,3.879754829160666,-10.467914603249618,0.18591120672208028,4.88818477769081,-10.477918626031203,0.17590718394049532
14.7,3.0863779681585846,-10.560693601883635,0.093132208088063,3.888592570014769,-10.483917298024892,0.16990851194680623,4.899319633426411,-10.496961423365981,0.1568643866057169
14.8,3.0933607475440708,-10.574071942812484,0.07975386715921395,3.8973903207493152,-10.498858496487383,0.15496731348431503,4.910404104768594,-10.514732432272321,0.13909337769937657
14.9,3.1003121433866836,-10.586311483462323,0.06751432650937517,3.906148530697575,-10.512760315323401,0.14106549464829676,4.921438757841805,-10.531249884130325,0.12257592584137278
15.0,3.1072325059538586,-10.597439935314728,0.05638587465696965,3.9148676411688634,-10.525644242486312,0.12818156748538634,4.93242414866094,-10.546533087052522,0.10729272291917624
15.1,3.1141221792997484,-10.607484137822826,0.04634167214887164,3.92354808564425,-10.537531390495095,0.11629441947660268,4.9433608233779225,-10.560602520791415,0.09322328918028333
15.2,3.1209815014157694,-10.616470228444467,0.03735558152723151,3.932190289966234,-10.548442676282622,0.10538313368907559,4.954249318520683,-10.573479840677983,0.08034596929371496
15.3,3.1278108043765327,-10.624423780688097,0.029402029283600584,3.9407946725226095,-10.558398937270123,0.0954268727015748,4.965090161224809,-10.585187810868707,0.06863799910299129
15.4,3.13461041448134,-10.631369911819792,0.02245589815190563,3.9493616444247337,-10.567420994141834,0.08640481582986403,4.975883869458152,-10.595750185904148,0.05807562406755018
15.5,3.1413806523913927,-10.637333362790447,0.016492447181251535,3.9578916096804053,-10.575529670820924,0.07829613915077438,4.986630952238645,-10.605191557477244,0.048634252494453634
15.6,3.1481218332628864,-10.642338553559332,0.01148725641236581,3.9663849653615495,-10.58274578160794,0.07108002836375782,4.997331909845562,-10.613537180787143,0.04028862918455545
15.7,3.154834266876128,-10.64640961733816,0.007416192633538543,3.9748421017668942,-10.58909009452363,0.06473571544806767,5.007987234024489,-10.620812792226204,0.033013017745494366
