symbol,MACE-MP,MACE-MP-0-small,MACE-MP-0-medium,MACE-MP-0-large,DFT
W,5.287,6.167,5.287,6.827,10.180138568129331
Mo,3.937,4.254,3.937,5.686,7.371824480369515
Nb,3.734,3.416,3.734,5.516,3.953810623556582
