V/atom,BCC_a,BCC_E,Delta_BCC_E,FCC_a,FCC_E,Delta_FCC_E,A15_a,A15_E,Delta_A15_E
12.0,2.8844991406148166,-11.573768389883451,1.1727853210252768,3.634241185664279,-11.451817958271109,1.294735752637619,4.5788569702133275,-11.375297365173985,1.3712563457347429
12.1,2.8924894837622244,-11.642041766031085,1.1045119448776433,3.6443083871915816,-11.52422141176839,1.2223322991403371,4.59154084933111,-11.451831304272533,1.294722406636195
12.2,2.9004359233715116,-11.704784273779516,1.0417694371292114,3.654320273727041,-11.590014729052161,1.156538981856567,4.6041550359262935,-11.522109303652858,1.22444440725587
12.3,2.9083390575954486,-11.76284798290088,0.9837057280078483,3.6642775988959237,-11.650182987342683,1.0963707235660447,4.616700479507217,-11.587188332148878,1.1593653787598495
12.4,2.916199471653423,-11.816983694121221,0.9295700167875065,3.674181100028455,-11.705595528298108,1.0409581826106198,4.629178109051751,-11.647990262425346,1.0985634484833824
12.5,2.924017738212866,-11.867846988998828,0.8787067219099001,3.6840314986403864,-11.757025338656621,0.9895283722521064,4.641588833612778,-11.705302520879513,1.0412511900292145
12.6,2.931794417756475,-11.916001115913899,0.8305525949948294,3.6938295008956663,-11.805157058510204,0.9413966523985238,4.6539335429011235,-11.759778708124546,0.9867750027841815
12.7,2.9395300589358744,-11.961919211491134,0.784634499417594,3.703575798052025,-11.850588524902637,0.8959651860060909,4.66621310784695,-11.811942303757132,0.9346114071515963
12.8,2.9472251989123093,-12.005987342082346,0.7405663688263822,3.713271066890223,-11.893829671112595,0.8527240397961329,4.678428381140585,-11.862194733687685,0.8843589772210425
12.9,2.9548803636849534,-12.048509101883342,0.698044609025386,3.722915970127691,-11.93530152317448,0.8112521877342473,4.690580197753671,-11.910827667584032,0.835726043324696
13.0,2.9624960684073702,-12.08971196741764,0.6568417434910874,3.7325111568172478,-11.975337043312825,0.7712166675959029,4.7026693754415145,-11.958038495291834,0.7885152156168935
13.1,2.970072817692642,-12.129755236263499,0.6167984746452291,3.742057262731538,-12.014184712982546,0.7323689979261818,4.714696715227454,-12.00394748518745,0.7426062257212784
13.2,2.9776111059076547,-12.168739141033292,0.5778145698754358,3.7515549107338066,-12.052015052343519,0.6945386585652091,4.726663001870005,-12.048615076223978,0.6979386346847498
13.3,2.9851114174570075,-12.206714608242898,0.5398391026658302,3.7610047111356057,-12.088929749548281,0.6576239613604464,4.738569004313536,-12.092057986887994,0.6544957240207339
13.4,2.9925742270569824,-12.243693108355979,0.5028606025527491,3.7704072620419717,-12.12497272280725,0.6215809881014778,4.750415476123175,-12.134263215633704,0.6122904952750243
13.5,3.0,-12.279656097029736,0.46689761387899154,3.7797631496846193,-12.160142252337785,0.586411458570943,4.762203155904598,-12.175199445762603,0.571354265146125
13.6,3.007389192409949,-12.314563656598413,0.43199005431031523,3.789072948743638,-12.194403280330913,0.5521504305778144,4.773932767709347,-12.21482576556242,0.531727945346308
13.7,3.014742251488785,-12.34836210830819,0.3981916026005372,3.7983372226581835,-12.227699058479129,0.5188546524295994,4.785605021426275,-12.25309791731441,0.49345579359431824
13.8,3.022059615754738,-12.380990438886009,0.3655632720227189,3.807556523926606,-12.259961543478799,0.4865921674299294,4.797220613159683,-12.289972475218221,0.456581235690507
