# Gamma line for [-1  1  0] surface and [1 1 1] shift direction
0.000000000000000000e+00 0.000000000000000000e+00
9.151576722394375030e-02 5.870472444736176115e-04
1.830315344478875006e-01 2.288939813396282871e-03
2.745473016718312786e-01 4.972120203123364494e-03
3.660630688957750012e-01 8.427637273227100642e-03
4.575788361197187237e-01 1.238419067981386991e-02
5.490946033436625573e-01 1.673756478322033225e-02
6.406103705676062798e-01 2.125955181835864627e-02
7.321261377915500024e-01 2.574462981648120360e-02
8.236419050154937249e-01 3.004165903175828531e-02
9.151576722394374475e-01 3.398074566738130964e-02
1.006673439463381170e+00 3.740821454732990575e-02
1.098189206687325115e+00 4.023548420533624992e-02
1.189704973911268837e+00 4.229095921021212845e-02
1.281220741135212560e+00 4.356358727940184278e-02
1.372736508359156282e+00 4.400001672912940559e-02
1.464252275583100005e+00 4.356358727882593540e-02
1.555768042807043727e+00 4.229095921036143263e-02
1.647283810030987450e+00 4.023548511798822475e-02
1.738799577254931172e+00 3.740821457361912655e-02
1.830315344478874895e+00 3.398074565810275949e-02
1.921831111702818840e+00 3.004165907686590087e-02
2.013346878926762340e+00 2.574462981648120360e-02
2.104862646150706063e+00 2.125955182036899996e-02
2.196378413374650229e+00 1.673756478266041903e-02
2.287894180598593952e+00 1.238419068031512520e-02
2.379409947822537674e+00 8.427637268326534578e-03
2.470925715046481397e+00 4.972120203080704175e-03
2.562441482270425119e+00 2.288939801680781472e-03
2.653957249494368842e+00 5.870472430871677373e-04
2.745473016718312564e+00 1.493099894919502128e-13
