# Gamma line for [-1  1  0] surface and [1 1 1] shift direction
0.000000000000000000e+00 0.000000000000000000e+00
9.586559066714976651e-02 4.864629674707258793e-04
1.917311813342995330e-01 1.920086997668136574e-03
2.875967720014492857e-01 4.230019741953853184e-03
3.834623626685990661e-01 7.309575470883379611e-03
4.793279533357488464e-01 1.102059198738464946e-02
5.751935440028985713e-01 1.522046581213984569e-02
6.710591346700484072e-01 1.978575967837267399e-02
7.669247253371981321e-01 2.443001574648543880e-02
8.627903160043478570e-01 2.907262601102028263e-02
9.586559066714976929e-01 3.347868053189183291e-02
1.054521497338647418e+00 3.740539312755659235e-02
1.150387088005797143e+00 4.065492223663503407e-02
1.246252678672946868e+00 4.308234152486813129e-02
1.342118269340096814e+00 4.456444130413066140e-02
1.437983860007246539e+00 4.507240248240941549e-02
1.533849450674396264e+00 4.456444126841287851e-02
1.629715041341545989e+00 4.308234062474593229e-02
1.725580632008695714e+00 4.065492223772357999e-02
1.821446222675845661e+00 3.740539320889109398e-02
1.917311813342995386e+00 3.347868062715869675e-02
2.013177404010145111e+00 2.907262600762344773e-02
2.109042994677294836e+00 2.443001613335035738e-02
2.204908585344444560e+00 1.978575967837267399e-02
2.300774176011594285e+00 1.522046581181911440e-02
2.396639766678744010e+00 1.102059198736521188e-02
2.492505357345893735e+00 7.309575470893098399e-03
2.588370948013043904e+00 4.230019741953853184e-03
2.684236538680193629e+00 1.920086997668136574e-03
2.780102129347343354e+00 4.864629674755854361e-04
2.875967720014493079e+00 -4.859562572657602925e-15
