V/atom,BCC_a,BCC_E,Delta_BCC_E,FCC_a,FCC_E,Delta_FCC_E,A15_a,A15_E,Delta_A15_E
12.0,2.8844991406148166,-7.5078845687052835,2.5629086822556344,3.634241185664279,-7.38591137677935,2.684881874181568,4.5788569702133275,-7.29290090155245,2.777892349408468
12.1,2.8924894837622244,-7.616734076723242,2.454059174237676,3.6443083871915816,-7.499568708824691,2.5712245421362265,4.59154084933111,-7.418442267099399,2.6523509838615187
12.2,2.9004359233715116,-7.722116682837169,2.348676568123749,3.654320273727041,-7.608351549608188,2.4624417013527298,4.6041550359262935,-7.539321533581745,2.5314717173791728
12.3,2.9083390575954486,-7.824146669967138,2.2466465809937803,3.6642775988959237,-7.712383801691146,2.3584094492697716,4.616700479507217,-7.65561285862899,2.415180392331928
12.4,2.916199471653423,-7.92294370925524,2.1478495417056775,3.674181100028455,-7.811801821159324,2.2589914298015943,4.629178109051751,-7.767404694130363,2.303388556830555
12.5,2.924017738212866,-8.01862905205985,2.0521641989010675,3.6840314986403864,-7.9067507160688,2.1640425348921175,4.641588833612778,-7.874797210975842,2.1959960399850758
12.6,2.931794417756475,-8.11132191771241,1.9594713332485085,3.6938295008956663,-7.997381132716694,2.0734121182442236,4.6539335429011235,-7.977899783622844,2.092893467338074
12.7,2.9395300589358744,-8.201136270918584,1.8696569800423344,3.703575798052025,-8.08384665497341,1.986946595987508,4.66621310784695,-8.076828626628997,1.9939646243319213
12.8,2.9472251989123093,-8.288178137816427,1.782615113144491,3.713271066890223,-8.166301861085728,1.90449138987519,4.678428381140585,-8.171704649902406,1.8990886010585122
12.9,2.9548803636849534,-8.372543564125827,1.6982496868350907,3.722915970127691,-8.244901015052916,1.825892235908002,4.690580197753671,-8.262651576026341,1.8081416749345767
13.0,2.9624960684073702,-8.454317272741722,1.6164759782191958,3.7325111568172478,-8.319797320742474,1.7509959302184441,4.7026693754415145,-8.349794342729266,1.7209989082316515
13.1,2.970072817692642,-8.533572032557199,1.5372212184037188,3.742057262731538,-8.391142636989628,1.6796506139712903,4.714696715227454,-8.433257796778397,1.6375354541825207
13.2,2.9776111059076547,-8.610368707095592,1.4604245438653258,3.7515549107338066,-8.459087538712463,1.6117057122484546,4.726663001870005,-8.513165672193123,1.5576275787677947
13.3,2.9851114174570075,-8.684756913059537,1.3860363379013805,3.7610047111356057,-8.523781608782116,1.547011642178802,4.738569004313536,-8.589639835391635,1.481153415569283
13.4,2.9925742270569824,-8.75677618760593,1.3140170633549886,3.7704072620419717,-8.58537385394369,1.4854193970172282,4.750415476123175,-8.66279977228961,1.4079934786713082
13.5,3.0,-8.826457541043712,1.2443357099172054,3.7797631496846193,-8.644013151943858,1.4267800990170603,4.762203155904598,-8.732762287013767,1.3380309639471513
13.6,3.007389192409949,-8.893824708778663,1.176968542182255,3.789072948743638,-8.699848653499307,1.3709445974616106,4.773932767709347,-8.799641378311067,1.2711518726498507
13.7,3.014742251488785,-8.958894627225881,1.111898623735037,3.7983372226581835,-8.753029883265079,1.3177633676958393,4.785605021426275,-8.863548257511718,1.2072449934491996
13.8,3.022059615754738,-9.021681360763187,1.0491118901977305,3.807556523926606,-8.803698616773664,1.267094634187254,4.797220613159683,-8.924591470773779,1.1462017801871394
13.9,3.029341715272494,-9.082198465747128,0.98859478521379,3.8167313943964567,-8.851984439495801,1.2188088114651165,4.808780225594707,-8.982877088245663,1.0879161627152545
14.0,3.0365889718756622,-9.140460515861243,0.9303327350996753,3.825862365544778,-8.898013856625784,1.1727793943351337,4.820284528350459,-9.038508923895522,1.0322843270653959
14.1,3.043801799381843,-9.19648434192699,0.8743089090339282,3.834949958749076,-8.941910796869186,1.1288824540917322,4.831734178321436,-9.091588752347336,0.9792044986135817
14.2,3.050980603800597,-9.25028996014865,0.8205032908122671,3.8439946855493425,-8.98379627535963,1.0869969756012878,4.84312982000764,-9.142216493335654,0.9285767576252635
14.3,3.058125783534594,-9.301901184520915,0.768892066440003,3.8529970479014874,-9.023787964793316,1.047005286167602,4.854472085833889,-9.190490340302032,0.8803029106588856
14.4,3.0652377295742124,-9.35134593786357,0.7194473130973478,3.861957538422519,-9.061999699924682,1.008793551036236,4.86576159645872,-9.236506816837608,0.8342864341233103
14.5,3.072316825685847,-9.398656291092122,0.6721369598687961,3.8708766406277966,-9.098540942533644,0.9722523084272741,4.876998961073313,-9.280360752472903,0.7904324984880144
14.6,3.0793634485941714,-9.44386827167372,0.6269249792871978,3.879754829160666,-9.133516234054468,0.9372770169064495,4.88818477769081,-9.322145176968979,0.748648073991939
14.7,3.0863779681585846,-9.487021489815145,0.5837717611457727,3.888592570014769,-9.167024661743227,0.903768589217691,4.899319633426411,-9.361951139109028,0.7088421118518902
14.8,3.0933607475440708,-9.528158635023988,0.5426346159369295,3.8973903207493152,-9.199159362066752,0.8716338888941664,4.910404104768594,-9.39986746162234,0.6709257893385772
14.9,3.1003121433866836,-9.567324896596109,0.5034683543648093,3.9061485306975747,-9.230007082362507,0.8407861685984113,4.921438757841805,-9.435980448186312,0.634812802774606
15.0,3.1072325059538586,-9.604567359632117,0.46622589132880066,3.9148676411688634,-9.259647819046762,0.8111454319141558,4.93242414866094,-9.470373561545985,0.6004196894149327
15.1,3.114122179299749,-9.639934423642027,0.43085882731889136,3.9235480856442497,-9.288154547853964,0.7826387031069544,4.9433608233779225,-9.503127093802544,0.5676661571583743
15.2,3.1209815014157694,-9.673475283875492,0.3973179670854261,3.9321902899662335,-9.315593058710963,0.7552001922499549,4.954249318520683,-9.534317850873453,0.5364754000874647
15.3,3.127810804376533,-9.705239506426555,0.3655537445343633,3.940794672522609,-9.34202190468926,0.7287713462716585,4.965090161224809,-9.564018872849413,0.5067743781115048
15.4,3.13461041448134,-9.735276717213496,0.3355165337474215,3.9493616444247333,-9.367492470795044,0.7033007801658737,4.975883869458153,-9.592299210172156,0.4784940407887621
15.5,3.1413806523913927,-9.763636412642283,0.30715683831863494,3.9578916096804053,-9.392049163973812,0.6787440869871055,4.986630952238645,-9.619223771976662,0.4515694789842559
15.6,3.148121833262887,-9.790367886942017,0.2804253640189014,3.966384965361549,-9.41572972060584,0.6550635303550774,4.997331909845563,-9.644853257548668,0.42593999341224986
15.7,3.1548342668761284,-9.815520258942733,0.25527299201818465,3.974842101766894,-9.438565622169738,0.6322276287911794,5.0079872340244895,-9.669244174984687,0.4015490759762308
15.8,3.1615182577608225,-9.839142570791118,0.23165068016979973,3.983263402579826,-9.46058260409319,0.6102106468677277,5.018597408186199,-9.692448943528957,0.378344307431961
15.9,3.16817410531767,-9.86128392410409,0.20950932685682844,3.991649245021589,-9.481801237703264,0.5889920132576538,5.029162907599678,-9.714516068697334,0.3562771822635842
16.0,3.1748021039363987,-9.881993616379624,0.18879963458129367,3.9999999999999996,-9.502237561282975,0.5685556896779431,5.039684199579492,-9.73549037325159,0.3353028777093279
16.1,3.1814025431103645,-9.90132124257079,0.16947200839012844,4.00831603225383,-9.521903734089143,0.5488895168717747,5.050161743667697,-9.75541326326557,0.3153799876953478
16.2,3.187975707547833,-9.91931673327454,0.15147651768637793,4.0165977004930165,-9.54080868711867,0.5299845638422482,5.060595991810495,-9.77432300748433,0.29647024347658757
16.3,3.1945218772800645,-9.936030310926984,0.13476294003393363,4.02484535753484,-9.558958746460426,0.5118345045004915,5.070987388529802,-9.792255010019138,0.2785382409417796
16.4,3.20104132776631,-9.95151235711431,0.11928089384660723,4.033059350436209,-9.576358208971374,0.4944350419895436,5.081336371089923,-9.809242060779424,0.2615511901814944
16.5,3.207534329995826,-9.96581319577459,0.1049800551863278,4.04124002062219,-9.593009855257726,0.4777833957031916,5.091643369659488,-9.825314554165466,0.24547869679545187
16.6,3.2140011505870083,-9.978982807027123,0.09181044393379523,4.049387704010914,-9.608915390871456,0.4618778600894622,5.101908807468821,-9.840500673438827,0.23029257752209098
16.7,3.2204420518837455,-9.99107049345074,0.07972275751017754,4.057502731134968,-9.624075812569542,0.4467174383913761,5.112133100962884,-9.854826544780986,0.2159667061799322
16.8,3.2268572920490874,-10.002124524310243,0.06866872665067447,4.065585427259413,-9.638491701826357,0.43230154913456076,5.122316659949977,-9.868316395248687,0.20247685571223073
16.9,3.2332471251563106,-10.012191783595659,0.05860146736525884,4.073636112496519,-9.652163452091495,0.4186297988694232,5.132459887746284,-9.880993081843805,0.18980016911711317
17.0,3.239611801277483,-10.021317445363414,0.04947580559750442,4.081655101917348,-9.66509143929347,0.40570181166744845,5.14256318131647,-9.89287798621083,0.17791526475008723
17.1,3.245951566569593,-10.029544695578778,0.041248555382139784,4.089642705660269,-9.677276146745193,0.39351710421572506,5.1526269314103965,-9.903990674398898,0.16680257656202002
17.2,3.2522666633583373,-10.0369145143312,0.03387873662971863,4.097599229036532,-9.688718256016266,0.38207499494465225,5.16265152269613,-9.914349052883829,0.15644419807708942
17.3,3.258557330219642,-10.043465526689717,0.027327724271200893,4.105524972632966,-9.699418714729461,0.3713745362314569,5.172637333889347,-9.923969568853625,0.1468236821072928
17.4,3.2648238020589835,-10.049233925154715,0.021559325806203233,4.113420232411927,-9.709378790904236,0.36141446005668243,5.182584737879247,-9.932867436089161,0.1379258148717568
17.5,3.2710663101885897,-10.054253462005677,0.016539788955240553,4.121285299808556,-9.718600121713639,0.3521931292472793,5.1924941018511035,-9.941056880758849,0.1297363702020693
17.6,3.277285082402583,-10.058555506025986,0.012237744934932238,4.129120461825468,-9.727084762617718,0.3437084883432,5.202365787405547,-9.948551398666304,0.12224185229461426
17.7,3.2834803430501407,-10.062169155158902,0.008624095802016285,4.136926001124912,-9.734835241003907,0.335958009957011,5.212200150674698,-9.95536401385897,0.11542923710194763
17.8,3.289652313106724,-10.065121394577307,0.005671856383610674,4.144702196118522,-9.741854616847153,0.328938634113765,5.2219975424352345,-9.961507528206262,0.10928572275465598
17.9,3.2958012102434435,-10.067437288442482,0.003355962518435618,4.152449321054713,-9.74814655157624,0.32264669938467705,5.231758308218508,-9.96699475255622,0.10379849840469824
18.0,3.3019272488946263,-10.069140193031963,0.0016530579289550928,4.160167646103808,-9.75371538530996,0.3170778656509583,5.241482788417793,-9.971838704036129,0.098954546924789
18.1,3.308030640323625,-10.070251978973639,0.0005412719872790461,4.167857437440951,-9.758566221876855,0.3122270290840632,5.251171318392759,-9.97605238925222,0.09474086170869711
18.2,3.3141115926869382,-10.070793250960918,0.0,4.175518957326897,-9.762705020495222,0.308088230465696,5.26082422857125,-9.979648215527241,0.09114503543367647
18.3,3.320170311096694,-10.07078355434371,9.69661720873205e-06,4.183152464186734,-9.766138692602716,0.30465455835820165,5.2704418445484755,-9.982638069132008,0.08815518182890969
18.4,3.326206997681531,-10.070241559385156,0.0005516915757617369,4.190758212686589,-9.768875202022741,0.30191804893817675,5.280024487183649,-9.985033432714618,0.08575981824630041
18.5,3.332221851645953,-10.069185215663492,0.001608035297426369,4.198336453808407,-9.770923666394092,0.2998695845668262,5.289572472694207,-9.986845477825872,0.08394777313504598
18.6,3.3382150693281747,-10.067631871028382,0.003161379932535624,4.205887434922841,-9.772294457549016,0.2984987934119019,5.2990861127476405,-9.988085140630766,0.08270811033015235
18.7,3.3441868442565297,-10.065598351639592,0.0051948993213262185,4.21341139986031,-9.772999298301833,0.2977939526590845,5.308565714551029,-9.988763181552104,0.0820300694088143
18.8,3.350137367204468,-10.063101001873548,0.0076922490873698735,4.2209085889803,-9.773051352928055,0.29774189803286255,5.318011580938347,-9.988890230519063,0.08190302044185493
18.9,3.35606682624419,-10.060155685210525,0.010637565750393208,4.228379239238935,-9.772465308512,0.2983279424489176,5.327424010455603,-9.988476820153075,0.08231643080784323
19.0,3.361975406798963,-10.056777749523306,0.014015501437611988,4.235823584254893,-9.771257444370026,0.2995358065908924,5.336803297443889,-9.987533409616088,0.08325984134483022
19.1,3.36786329169415,-10.052981962356824,0.017811288604093534,4.243241854373697,-9.76944568643534,0.3013475645255781,5.346149732120376,-9.98607040199552,0.08472284896539861
19.2,3.373730661206997,-10.048782423669994,0.02201082729092363,4.250634276730444,-9.767048354958954,0.3037448960019642,5.355463600657355,-9.984098158047843,0.0866950929130752
19.3,3.3795776931152104,-10.04419246494578,0.0266007860151376,4.258001075311009,-9.764081153469817,0.3067120974911006,5.364745185259346,-9.981627008916771,0.08916624204414703
19.4,3.3854045627443643,-10.039224544410272,0.03156870655064559,4.265342471011773,-9.760559991303639,0.310233259657279,5.373994764238346,-9.97866723688799,0.09212601407292809
19.5,3.3912114430141664,-10.033890148217218,0.036903102743700344,4.272658681697917,-9.756501632806799,0.3142916181541189,5.383212612087283,-9.975228774398138,0.09556447656277989
19.6,3.396998504483621,-10.028199706796489,0.042593544164429176,4.279949922260318,-9.751923573352707,0.3188696776082107,5.3923989995517,-9.971321092090012,0.09947215887090621
19.7,3.4027659153951157,-10.022162534162675,0.048630716798243157,4.287216404671104,-9.746843895118197,0.32394935584272133,5.40155419369974,-9.966953280129667,0.10383997083125074
19.8,3.4085138417174696,-10.015786795951701,0.05500645500921664,4.294458338037882,-9.74128110621902,0.32951214474189783,5.41067845799048,-9.962134090411299,0.10865916054961922
19.9,3.414242447187964,-10.009079509506137,0.06171374145478126,4.301675928656701,-9.735253968043118,0.3355392829178001,5.4197720523406545,-9.956871981807483,0.11392126915343503
20.0,3.4199518933533937,-10.002046576721076,0.06874667423984171,4.308869380063767,-9.728781316652224,0.3420119343086938,5.428835233189813,-9.951175168184735,0.11961808277618324
20.1,3.4256423396101563,-9.994692847876932,0.07610040308398602,4.316038893085958,-9.721881884842754,0.3489113661181644,5.437868253563966,-9.94505166860346,0.12574158235745792
20.200000000000003,3.4313139432434188,-9.98702221257935,0.08377103838156863,4.323184665890166,-9.714574131785731,0.35621911917518645,5.446871363137753,-9.938509359138774,0.13228389182214428
20.3,3.4369668594653753,-9.979037712398778,0.0917555385621398,4.330306894031501,-9.7068760870525,0.3639171639084182,5.455844808295176,-9.931556025740058,0.13923722522086024
20.4,3.4426012414526315,-9.970741668963102,0.10005158199781583,4.337405770500393,-9.69880521526833,0.3719880356925884,5.464788832188937,-9.924199417488884,0.1465938334720338
20.5,3.4482172403827303,-9.962135821120473,0.10865742984044502,4.344481485768611,-9.690378306654488,0.3804149443064304,5.473703674798427,-9.916447299513152,0.15434595144776608
20.6,3.4538150054698504,-9.953221465277508,0.11757178568340976,4.351534227834241,-9.681611397392375,0.38918185356854273,5.4825895729863925,-9.908307504675399,0.16248574628551893
20.700000000000003,3.459394683999698,-9.94399959398909,0.12679365697182732,4.358564182265642,-9.67251972217997,0.39827352878094757,5.491446760554317,-9.899787982985462,0.17100526797545612
20.8,3.464956421363611,-9.934471027815992,0.13632222314492637,4.365571532244423,-9.66311769967444,0.40767555128647714,5.5002754682965636,-9.890896847506571,0.17989640345434665
20.9,3.4705003610919003,-9.924635983195252,0.14615726776566618,4.372556458607444,-9.653418949860061,0.4173743011008568,5.509075924053299,-9.881642415351354,0.18915083560956347
21.0,3.4760266448864496,-9.914493300461947,0.15629995049897083,4.379519139887889,-9.64343634086756,0.4273569100933585,5.517848352762241,-9.872033242223724,0.19876000873719413
21.1,3.4815354126525864,-9.904041704345394,0.16675154661552405,4.386459752355427,-9.63318206150078,0.43761118946013866,5.526592976509255,-9.862078148880899,0.20871510208001887
21.200000000000003,3.4870268025302567,-9.893280097675689,0.1775131532852292,4.393378470055484,-9.622667714767404,0.4481255361935137,5.535310014577836,-9.851786237892254,0.21900701306866388
21.3,3.4925009509245077,-9.882207622700175,0.18858562826074277,4.400275464847649,-9.611904427093144,0.45888882386777397,5.543999683497501,-9.841166899181493,0.2296263517794248
21.4,3.49795799253531,-9.87082371268102,0.19996953827989827,4.407150906443251,-9.600902967622595,0.46989028333832294,5.552662197091122,-9.830229803070957,0.24056344788996142
21.5,3.503398060386724,-9.859128136621965,0.21166511433895252,4.414004962442103,-9.589673872038787,0.48111937892213064,5.561297766521235,-9.818984879910996,0.25180837104992193
21.6,3.508821285855439,-9.847121039602584,0.22367221135833404,4.4208377983684635,-9.578227565613386,0.4925656853475324,5.569906600335334,-9.807442285866975,0.2633509650939434
21.700000000000003,3.514227798698695,-9.834802980660879,0.23599027030003938,4.427649577706209,-9.56657448066065,0.5042187703002678,5.578488904510198,-9.795612355036427,0.2751808959244908
21.8,3.5196177270816054,-9.822174969549708,0.24861828141120945,4.434440461933264,-9.554725164140168,0.5160680868207503,5.587044882495263,-9.783505538748438,0.2872877122124802
21.9,3.524991197603893,-9.809238503072205,0.261554747888713,4.441210610555283,-9.542690371769282,0.5281028791916356,5.595574735255063,-9.771132333612066,0.29966091734885225
