# Gamma line for [ 1  1 -2] surface and [1 1 1] shift direction
0.000000000000000000e+00 0.000000000000000000e+00
9.210828682777796872e-02 2.314549468197123379e-03
1.842165736555559374e-01 9.037379869355812931e-03
2.763248604833339339e-01 1.946022192625415995e-02
3.684331473111118749e-01 3.255165931710187616e-02
4.605414341388898158e-01 4.727033024297686709e-02
5.526497209666678678e-01 6.245302731476968378e-02
6.447580077944458088e-01 7.733883416362111185e-02
7.368662946222237498e-01 9.092683241886787004e-02
8.289745814500016907e-01 1.024342427367431890e-01
9.210828682777796317e-01 1.113021352463814534e-01
1.013191155105557684e+00 1.172895005130665386e-01
1.105299441933335736e+00 1.204947376846465940e-01
1.197407728761113566e+00 1.213067119107218428e-01
1.289516015588891618e+00 1.203332850210172555e-01
1.381624302416669448e+00 1.181705339909719793e-01
1.473732589244447500e+00 1.152248095557910218e-01
1.565840876072225551e+00 1.116526019196464603e-01
1.657949162900003381e+00 1.073784926557823372e-01
1.750057449727781433e+00 1.022427267245442917e-01
1.842165736555559263e+00 9.599632277870351338e-02
1.934274023383337315e+00 8.838506970637015348e-02
2.026382310211115367e+00 7.915820280868833547e-02
2.118490597038893419e+00 6.825704254997570775e-02
2.210598883866671471e+00 5.599018907179650895e-02
2.302707170694449079e+00 4.306512426911258268e-02
2.394815457522227131e+00 3.017071760695939908e-02
2.486923744350005183e+00 1.836457505614886784e-02
2.579032031177783235e+00 8.693233772930641229e-03
2.671140318005561287e+00 2.270058840329684888e-03
2.763248604833338895e+00 1.823542531828479850e-14
