# Gamma line for [-1  1  0] surface and [1 1 1] shift direction
0.000000000000000000e+00 0.000000000000000000e+00
9.247941713609771075e-02 6.809734198906902247e-04
1.849588342721954215e-01 2.657841221882913281e-03
2.774382514082931461e-01 5.748298002337500628e-03
3.699176685443908430e-01 9.703752270226248880e-03
4.623970856804885399e-01 1.425378860792677303e-02
5.548765028165862923e-01 1.916449527468920555e-02
6.473559199526839336e-01 2.425217948891802630e-02
7.398353370887816860e-01 2.937247122797155552e-02
8.323147542248794384e-01 3.439692414270204002e-02
9.247941713609770797e-01 3.918013283784750611e-02
1.017273588497074721e+00 4.354691878980333775e-02
1.109753005633172585e+00 4.729827830115444082e-02
1.202232422769270226e+00 5.021561772625562220e-02
1.294711839905367867e+00 5.207521599094089987e-02
1.387191257041465731e+00 5.271736461263564627e-02
1.479670674177563372e+00 5.207521599093045683e-02
1.572150091313661013e+00 5.021561772622951114e-02
1.664629508449758877e+00 4.729827830115444082e-02
1.757108925585856518e+00 4.354691878980333775e-02
1.849588342721954159e+00 3.918013283785794915e-02
1.942067759858052023e+00 3.439692414272292609e-02
2.034547176994149442e+00 2.937247122797155552e-02
2.127026594130247528e+00 2.425217948892324782e-02
2.219506011266345169e+00 1.916449527468920555e-02
2.311985428402442810e+00 1.425378860792677303e-02
2.404464845538540452e+00 9.703752270226248880e-03
2.496944262674638093e+00 5.748298002342723013e-03
2.589423679810735734e+00 2.657841221888135232e-03
2.681903096946833820e+00 6.809734198802463220e-04
2.774382514082931461e+00 1.044389534888638558e-14
