# Gamma line for [-1  1  0] surface and [1 1 1] shift direction
0.000000000000000000e+00 0.000000000000000000e+00
9.565092902718971835e-02 4.543779247109969600e-04
1.913018580543794367e-01 1.793523729004904829e-03
2.869527870815691273e-01 3.943012546902834731e-03
3.826037161087588734e-01 6.791186622147795358e-03
4.782546451359486195e-01 1.017778185192589821e-02
5.739055741631382546e-01 1.390496295612933010e-02
6.695565031903280007e-01 1.777138190173870036e-02
7.652074322175177468e-01 2.161291544075249343e-02
8.608583612447074929e-01 2.530197453379438854e-02
9.565092902718972390e-01 2.872233190091488808e-02
1.052160219299086874e+00 3.175429082335020498e-02
1.147811148326276509e+00 3.427568024304632893e-02
1.243462077353466366e+00 3.617230700161194051e-02
1.339113006380656001e+00 3.735104295974118332e-02
1.434763935407845858e+00 3.775101069978796520e-02
1.530414864435035494e+00 3.735104295976559435e-02
1.626065793462225129e+00 3.617230700160217749e-02
1.721716722489414986e+00 3.427568024345148401e-02
1.817367651516604621e+00 3.175429082248619472e-02
1.913018580543794478e+00 2.872233190566448810e-02
2.008669509570983891e+00 2.530197461317081412e-02
2.104320438598173748e+00 2.161291544047425420e-02
2.199971367625363605e+00 1.777138190172405582e-02
2.295622296652553018e+00 1.390496295612445032e-02
2.391273225679742875e+00 1.017778185178921761e-02
2.486924154706932732e+00 6.791186622152676870e-03
2.582575083734122590e+00 3.943012546917478399e-03
2.678226012761312003e+00 1.793523729004904829e-03
2.773876941788501860e+00 4.543779247500481333e-04
2.869527870815691717e+00 0.000000000000000000e+00
