V/atom_BCC,Delta_BCC_E,V/atom_A15,Delta_A15_E,V/atom_FCC,Delta_FCC_E
14.2436089506566,0.136390730587785,14.5444460641399,0.242,14.5701311953353,0.566
15.0907895575673,0.0168589825321943,15.3277696793003,0.114,15.3739577259475,0.451
15.8854711207446,-0.00429841897233185,16.1059839650146,0.0850000000000001,16.2104300291545,0.415
16.6859938798929,0.00701102894300654,16.9574854227405,0.111,17.0298979591837,0.446
17.4402891113094,0.0926176208083642,17.768527696793,0.186,17.8204883381924,0.515
18.26434400102,0.211805112839475,18.585721574344,0.305,18.6609985422741,0.633
19.1033804029071,0.362421904883336,NaN,NaN,NaN,NaN
